book_id,title,authors,isbn,language_code,average_rating,ratings_count,original_publication_year,books_count,work_text_reviews_count
1,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,439023483,eng,4.34,4780653,2008.0,272,155254
2,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","J.K. Rowling, Mary GrandPré",439554934,eng,4.44,4602479,1997.0,491,75867
3,"Twilight (Twilight, #1)",Stephenie Meyer,316015849,en-US,3.57,3866839,2005.0,226,95009
4,To Kill a Mockingbird,Harper Lee,61120081,eng,4.25,3198671,1960.0,487,72586
5,The Great Gatsby,F. Scott Fitzgerald,743273567,eng,3.89,2683664,1925.0,1356,51992
6,The Fault in Our Stars,John Green,525478817,eng,4.26,2346404,2012.0,226,140739
7,The Hobbit,J.R.R. Tolkien,618260307,en-US,4.25,2071616,1937.0,969,37653
8,The Catcher in the Rye,J.D. Salinger,316769177,eng,3.79,2044241,1951.0,360,44920
9,"Angels & Demons  (Robert Langdon, #1)",Dan Brown,1416524797,en-CA,3.85,2001311,2000.0,311,25112
10,Pride and Prejudice,Jane Austen,679783261,eng,4.24,2035490,1813.0,3455,49152
11,The Kite Runner,Khaled Hosseini,1594480001,eng,4.26,1813044,2003.0,283,59730
12,"Divergent (Divergent, #1)",Veronica Roth,62024035,eng,4.24,1903563,2011.0,210,101023
13,1984,"George Orwell, Erich Fromm, Celâl Üster",451524934,eng,4.14,1956832,1949.0,995,45518
14,Animal Farm,George Orwell,452284244,eng,3.87,1881700,1945.0,896,35472
15,The Diary of a Young Girl,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",553296981,eng,4.1,1972666,1947.0,710,20825
16,"The Girl with the Dragon Tattoo (Millennium, #1)","Stieg Larsson, Reg Keeland",307269752,eng,4.11,1808403,2005.0,274,62543
17,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,439023491,eng,4.3,1831039,2009.0,201,88538
18,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","J.K. Rowling, Mary GrandPré, Rufus Beck",043965548X,eng,4.53,1832823,1999.0,376,36099
19,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,618346252,eng,4.34,1766803,1954.0,566,15333
20,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,439023513,eng,4.03,1719760,2010.0,239,96274
21,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","J.K. Rowling, Mary GrandPré",439358078,eng,4.46,1735368,2003.0,307,28685
22,The Lovely Bones,Alice Sebold,316166685,eng,3.77,1605173,2002.0,183,36642
23,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)","J.K. Rowling, Mary GrandPré",439064864,eng,4.37,1779331,1998.0,398,34172
24,"Harry Potter and the Goblet of Fire (Harry Potter, #4)","J.K. Rowling, Mary GrandPré",439139600,eng,4.53,1753043,2000.0,332,31084
25,"Harry Potter and the Deathly Hallows (Harry Potter, #7)","J.K. Rowling, Mary GrandPré",545010225,eng,4.61,1746574,2007.0,263,51942
26,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,307277674,eng,3.79,1447148,2003.0,350,41560
27,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","J.K. Rowling, Mary GrandPré",439785960,eng,4.54,1678823,2005.0,275,27520
28,Lord of the Flies,William Golding,140283331,eng,3.64,1605019,1954.0,458,26886
29,Romeo and Juliet,"William Shakespeare, Robert           Jackson",743477111,eng,3.73,1628519,1595.0,1937,14778
30,Gone Girl,Gillian Flynn,297859382,eng,4.03,512475,2012.0,196,121614
31,The Help,Kathryn Stockett,399155341,eng,4.45,1531753,2009.0,183,78204
32,Of Mice and Men,John Steinbeck,142000671,eng,3.84,1467496,1937.0,373,24642
33,Memoirs of a Geisha,Arthur Golden,739326228,eng,4.08,1300209,1997.0,220,25605
34,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,1612130291,eng,3.67,1338493,2011.0,169,75437
35,The Alchemist,"Paulo Coelho, Alan R. Clarke",61122416,eng,3.82,1299566,1988.0,458,55781
36,"The Giver (The Giver, #1)",Lois Lowry,385732554,eng,4.12,1296825,1993.0,192,54084
37,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,60764899,eng,4.19,1531800,1950.0,474,15186
38,The Time Traveler's Wife,Audrey Niffenegger,965818675,eng,3.95,746287,2003.0,167,43382
39,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,553588486,eng,4.45,1319204,1996.0,101,46205
40,"Eat, Pray, Love",Elizabeth Gilbert,143038419,eng,3.51,1181647,2006.0,185,49714
41,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,786838655,eng,4.23,1366265,2005.0,159,46006
42,"Little Women (Little Women, #1)",Louisa May Alcott,451529308,en-US,4.04,1257121,1868.0,1707,17090
43,Jane Eyre,"Charlotte Brontë, Michael Mason",142437204,eng,4.1,1198557,1847.0,2568,31212
44,"The Notebook (The Notebook, #1)",Nicholas Sparks,553816713,eng,4.06,1053403,1996.0,190,17279
45,Life of Pi,Yann Martel,770430074,eng,3.88,1003228,2001.0,264,42962
46,Water for Elephants,Sara Gruen,1565125606,eng,4.07,1068146,2006.0,128,55732
47,The Book Thief,Markus Zusak,375831002,eng,4.36,1159741,2005.0,251,93611
48,Fahrenheit 451,Ray Bradbury,307347974,spa,3.97,570498,1953.0,507,30694
49,"New Moon (Twilight, #2)",Stephenie Meyer,316160199,eng,3.52,1149630,2006.0,194,44020
50,Where the Sidewalk Ends,Shel Silverstein,60513039,eng,4.29,1016888,1974.0,45,9234
51,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,1416914285,eng,4.12,1154031,2007.0,178,51589
52,"Eclipse (Twilight, #3)",Stephenie Meyer,316160202,en-US,3.69,1134511,2007.0,185,35216
53,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,375826696,en-US,3.86,1104021,2002.0,217,18280
54,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,345391802,en-US,4.2,936782,1979.0,257,20345
55,Brave New World,Aldous Huxley,60929871,eng,3.97,1022601,1932.0,515,20095
56,"Breaking Dawn (Twilight, #4)",Stephenie Meyer,031606792X,en-US,3.7,1070245,2008.0,183,44550
57,The Secret Life of Bees,Sue Monk Kidd,142001740,en-US,4.01,916189,2001.0,125,26522
58,The Adventures of Huckleberry Finn,"Mark Twain, John Seelye, Guy Cardwell",142437174,eng,3.8,953758,1884.0,2277,12448
59,Charlotte's Web,"E.B. White, Garth Williams, Rosemary Wells",64410935,eng,4.15,1064521,1952.0,180,13044
60,The Curious Incident of the Dog in the Night-Time,Mark Haddon,1400032717,eng,3.85,867553,2003.0,183,35796
61,The Girl on the Train,Paula Hawkins,1594633665,eng,3.88,1008778,2015.0,14,93600
62,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,679879242,eng,3.94,953970,1995.0,287,14915
63,Wuthering Heights,"Emily Brontë, Richard J. Dunn",393978893,eng,3.82,899195,1847.0,2498,26157
64,My Sister's Keeper,Jodi Picoult,743454537,eng,4.06,863879,2004.0,125,30719
65,Slaughterhouse-Five,Kurt Vonnegut Jr.,385333846,eng,4.06,846488,1969.0,241,19646
66,Gone with the Wind,Margaret Mitchell,446675539,eng,4.28,873981,1936.0,409,16050
67,A Thousand Splendid Suns,Khaled Hosseini,1594489505,eng,4.34,818742,2007.0,197,43645
68,The Perks of Being a Wallflower,Stephen Chbosky,671027344,eng,4.21,888806,1999.0,128,47116
69,"Insurgent (Divergent, #2)",Veronica Roth,7442912,eng,4.07,836362,2012.0,164,55873
70,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,812550706,eng,4.3,813439,1985.0,224,38054
71,Frankenstein,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",141439475,eng,3.75,808589,1818.0,2618,19993
72,The Shining (The Shining #1),Stephen King,450040186,eng,4.17,791850,1977.0,289,14936
73,"The Host (The Host, #1)",Stephenie Meyer,316068047,en-US,3.84,749780,2008.0,161,39778
74,Looking for Alaska,John Green,142402516,eng,4.09,783470,2005.0,187,47128
75,"Bridget Jones's Diary (Bridget Jones, #1)",Helen Fielding,014028009X,eng,3.75,736498,1996.0,193,8157
76,Sense and Sensibility,"Jane Austen, Tony Tanner, Ros Ballaster",141439661,eng,4.06,738894,1811.0,1969,11526
77,"Holes (Holes, #1)","Louis Sachar, Louis Sachar",439244196,eng,3.93,747445,1998.0,138,15832
78,"The Devil Wears Prada (The Devil Wears Prada, #1)",Lauren Weisberger,307275558,eng,3.7,665930,2003.0,129,8024
79,The Odyssey,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",143039954,eng,3.73,670326,-720.0,1703,8101
80,The Little Prince,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",156012197,eng,4.28,738757,1946.0,1708,24537
81,The Glass Castle,Jeannette Walls,074324754X,eng,4.24,621099,2005.0,92,40777
82,Into the Wild,Jon Krakauer,385486804,eng,3.94,647684,1996.0,108,17299
83,A Tale of Two Cities,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",141439602,eng,3.81,637412,1859.0,525,13093
84,"Jurassic Park (Jurassic Park, #1)",Michael Crichton,030734813X,spa,3.96,447833,1990.0,176,8143
85,The Giving Tree,Shel Silverstein,60256656,eng,4.38,702332,1964.0,81,14368
86,A Time to Kill,John Grisham,385338600,eng,4.03,597775,1989.0,158,4239
87,Night (The Night Trilogy #1),"Elie Wiesel, Marion Wiesel",374500010,eng,4.3,691231,1958.0,109,22001
88,Paper Towns,John Green,014241493X,en-US,3.88,461311,2008.0,178,42717
89,The Princess Bride ,William Goldman,345418263,en-US,4.25,628637,1973.0,129,15630
90,The Outsiders,S.E. Hinton,014038572X,en-US,4.06,659248,1967.0,156,22662
91,"The Maze Runner (Maze Runner, #1)",James Dashner,385737947,eng,4.02,719925,2009.0,147,48942
92,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)","Steven D. Levitt, Stephen J. Dubner",61234001,en-US,3.93,524191,2005.0,124,13668
93,The Secret Garden,Frances Hodgson Burnett,517189607,eng,4.12,639357,1911.0,1350,13054
94,One Hundred Years of Solitude,"Gabriel García Márquez, Gregory Rabassa",60531045,eng,4.04,490565,1967.0,555,21671
95,The Picture of Dorian Gray,"Oscar Wilde, Jeffrey Eugenides",375751513,eng,4.06,590014,1891.0,2303,19647
96,"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,345803507,eng,3.88,387290,2012.0,133,25287
97,Dracula,"Bram Stoker, Nina Auerbach, David J. Skal",393970124,eng,3.98,618973,1897.0,2207,17263
98,"The Girl Who Played with Fire (Millennium, #2)","Stieg Larsson, Reg Keeland",307269981,eng,4.22,563994,2006.0,209,31423
99,"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,1612130585,eng,3.87,552059,2011.0,147,28052
100,The Poisonwood Bible,Barbara Kingsolver,60786507,eng,4.02,546502,1998.0,39,19941
101,Me Talk Pretty One Day,David Sedaris,349113912,eng,3.97,495736,2000.0,59,14982
102,Where the Wild Things Are,Maurice Sendak,99408392,eng,4.22,620618,1963.0,110,9102
103,The Count of Monte Cristo,"Alexandre Dumas, Robin Buss",140449264,eng,4.21,555822,1844.0,1310,15925
104,The Road,Cormac McCarthy,307265439,eng,3.95,504793,2006.0,181,38980
105,"Allegiant (Divergent, #3)",Veronica Roth,7524277,eng,3.63,463257,2013.0,153,62536
106,Bossypants,Tina Fey,<function <lambda> at 0x7eb612ae0170>,eng,3.94,506250,2011.0,48,35142
107,A Walk to Remember,Nicholas Sparks,446693804,en-US,4.15,546948,1999.0,131,11071
108,"Confessions of a Shopaholic (Shopaholic, #1)",Sophie Kinsella,440241413,eng,3.61,543658,2000.0,144,11170
109,Les Misérables,"Victor Hugo, Lee Fahnestock, Norman MacAfee",451525264,eng,4.14,513407,1862.0,1319,12505
110,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,553381695,eng,4.4,523303,1998.0,202,20325
111,The Memory Keeper's Daughter,Kim Edwards,143037145,eng,3.64,501430,2005.0,98,18027
112,"Me Before You (Me Before You, #1)",Jojo Moyes,670026603,eng,4.27,587647,2012.0,168,71412
113,Catch-22,Joseph Heller,684833395,en-US,3.98,563265,1961.0,251,13734
114,Tuesdays with Morrie,"Mitch Albom, Saulius Dagys",751529818,eng,4.06,556518,1997.0,172,19272
115,Middlesex,Jeffrey Eugenides,312422156,en-US,3.98,488243,2002.0,125,20880
116,The Adventures of Tom Sawyer,"Mark Twain, Guy Cardwell, John Seelye",143039563,eng,3.89,555359,1876.0,2448,7165
117,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",Madeleine L'Engle,440498058,en-US,4.04,615907,1962.0,165,19413
118,The Joy Luck Club,Amy Tan,143038095,eng,3.9,515090,1989.0,126,6708
119,The Handmaid's Tale,Margaret Atwood,038549081X,eng,4.06,607889,1985.0,236,35925
120,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",Ann Brashares,385729332,eng,3.75,525706,2001.0,93,6477
121,Lolita,"Vladimir Nabokov, Craig Raine",<function <lambda> at 0x7eb612ae0170>,eng,3.88,469836,1955.0,370,18107
122,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)","Gregory Maguire, Douglas Smith",60987103,eng,3.52,506900,1995.0,80,22926
123,"The Firm (Penguin Readers, Level 5)",John Grisham,582418275,eng,3.99,488269,1991.0,11,3139
124,Room,Emma Donoghue,316098337,eng,4.03,511360,2010.0,151,42254
125,Hamlet,"William Shakespeare, Richard Andrews, Rex Gibson",521618746,eng,4.0,515820,1600.0,1929,8889
126,Dune (Dune Chronicles #1),Frank Herbert,340839937,eng,4.19,485032,1965.0,241,13239
127,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,316346624,eng,3.92,490504,2000.0,100,10895
128,Steve Jobs,Walter Isaacson,1451648537,eng,4.09,560715,2011.0,190,15198
129,One Flew Over the Cuckoo's Nest,Ken Kesey,451163966,eng,4.18,491642,1962.0,275,7855
130,The Old Man and the Sea,Ernest Hemingway,684830493,eng,3.73,520630,1952.0,666,16716
131,The Grapes of Wrath,John Steinbeck,142000663,eng,3.92,322321,1939.0,381,12991
